Date;London;New-York;Stockholm;Paris;Berlin;Oslo;Helsinki;Dhaka;Tokyo;Rome
2022-09-01;14;18;11;15;11;11;12;11;13;14
2022-09-02;11;14;10;16;13;10;11;13;11;11
2022-09-03;13;16;13;11;14;13;15;14;14;12
2022-09-04;8;15;9;16;15;9;16;15;11;11
2022-09-05;10;11;8;15;13;8;14;13;10;9
2022-09-06;15;10;11;17;16;10;8;9;7;11
2022-09-07;13;14;6;18;13;6;9;9;7;10
2022-09-08;16;9;11;14;16;11;8;11;10;12
2022-09-09;11;7;13;16;17;13;11;12;9;11
2022-09-10;13;11;14;15;11;13;14;14;12;13
2022-09-11;16;16;11;15;11;14;12;13;12;11
2022-09-12;13;15;10;18;14;10;12;11;10;9
2022-09-13;16;11;9;13;15;9;8;9;11;12
2022-09-14;9;11;12;16;16;12;11;10;12;10
2022-09-15;13;14;13;14;17;13;12;11;14;13
2022-09-16;12;13;12;18;15;12;11;12;15;12
2022-09-17;15;15;15;19;17;15;14;13;11;10
2022-09-18;16;16;14;11;10;14;13;15;14;13
2022-09-19;14;12;9;13;11;9;8;9;8;10
2022-09-20;11;17;9;10;11;6;7;9;8;11
2022-09-21;8;15;8;11;14;8;8;11;10;8
2022-09-22;10;18;7;14;13;7;9;12;14;9
2022-09-23;7;11;10;13;11;10;10;11;12;10
2022-09-24;9;14;11;14;16;11;12;13;11;9
2022-09-25;13;16;10;13;12;10;11;14;15;14
2022-09-26;16;17;12;15;16;11;13;15;11;10
2022-09-27;17;15;13;11;10;13;14;11;10;9
2022-09-28;13;16;11;10;9;12;11;12;13;11
2022-09-29;15;14;11;14;13;13;12;10;9;10
2022-09-30;16;18;10;13;11;10;11;9;12;11
